Stationen vom: 10.08.2015
"Stationscode";"Stationsname";"Kategorie";"Synonym";"Aktiv seit ";"Aktivitätsperiode: von ";"Aktivitätsperiode: bis";"Verlegt";"Straße";"Nr";"PLZ";"Ort";"Länge dezimal";"Breite dezimal";"Höhe";"Stationsumgebung (EoI)";"Art der Station (EoI)";"Einwohnerzahl (EoI)";"Abstand zur Straße (EoI)";"Bemerkung (EoI)";"Lokaler Code";"EMEP-Code";"O3-Klasse aus UBA FE";"NO/NO2-Klasse aus UBA FE";"Bemerkung des UBA(1)";"Bemerkung des UBA(2)";"Bemerkung des Netzbetreibers";"AEI-Station";"AEI-von";"AEI-bis";"ersetzt AEI-Station";"Amtlicher Gemeindeschlüssel (AGS)";"Gemeindenamen";"Entfernung von einer verkehrsreichen Kreuzung in Metern";"Geschätztes Verkehrsaufkommen (Anzahl der Fahrzeuge pro Tag)";"Waagrechte Entfernung vom nächsten Gebäude in Metern";"Entfernung von der nächsten Straße in Metern";"Entfernung von der wichtigsten Industriequelle in Metern";"Quelle 1 (Hauptquelle)";"Quelle 1 (Hauptquelle) - ID";"Gasförmige Schadstoffe";"Partikelförmige Schadstoffe";"Deposition";"Umweltmonitoring-Typ";
"DEBB012";"Herzberg";"Luftmessstation";"HEWA";"01.09.1992";"01.09.1992";"31.12.2001";"nein";"W.-Pieck-Ring";"";"04916";"Herzberg";"13,228909";"51,692932";"80";"vorstädtisches Gebiet";"Verkehr";"";">10-50 m";"";"209";"No";"LA";"ST";"mitgeteilte Inbetriebnahme später als in Jahresberichten";"";"";"nein";"";"";"";"12062224";"Herzberg (Elster)";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"";"";"k.A.";
"DEBB013";"Kleinmachnow";"Luftmessstation";"KLMW";"01.12.1992";"01.12.1992";"16.04.1997";"nein";"Am Bannwald";"1";"14532";"Kleinmachnow";"13,231407";"52,408763";"43";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"";"103";"No";"";"";"";"";"";"nein";"";"";"";"12069304";"Kleinmachnow";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB014";"Lübbenau";"Luftmessstation";"LUSE";"01.01.1991";"01.01.1991";"31.03.1997";"nein";"Werner-Seelenbinder-Str.";"";"03222";"Lübbenau";"13,937358";"51,857105";"53";"vorstädtisches Gebiet";"Hintergrund";"";">100-200 m";"";"202";"No";"";"";"";"";"";"nein";"";"";"";"12066196";"Lübbenau/Spreewald";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEBB015";"Luckau, 1991-1993";"Luftmessstation";"LCMA";"01.01.1992";"01.01.1992";"31.12.1993";"nein";"Karl-Marx-Str.";"";"15926";"Luckau";"13,706031";"51,853295";"64";"vorstädtisches Gebiet";"Hintergrund";"";">50-100 m";"";"206";"No";"";"";"mitgeteilte Inbetriebnahme später als in Jahresberichten";"";"";"nein";"";"";"";"12061320";"Luckau";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEBB016";"Ludwigsfelde";"Luftmessstation";"LDFE";"01.01.1993";"01.01.1993";"14.05.1998";"nein";"Arthur-Ladewig-Str.";"";"14974";"Ludwigsfelde";"13,256121";"52,296161";"41";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"";"113";"No";"";"ST";"mitgeteilte Inbetriebnahme später als in Jahresberichten";"";"";"nein";"";"";"";"12072240";"Ludwigsfelde";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB017";"Merzdorf";"Luftmessstation";"MEBA";"01.12.1992";"01.12.1992";"19.01.1999";"nein";"Merzdorfer Bahnhofstr. 21";"21";"03042";"Cottbus, OT Merzdorf";"14,385859";"51,773876";"68";"vorstädtisches Gebiet";"Hintergrund";"";">50-100 m";"";"215";"No";"";"";"mitgeteilte Inbetriebnahme später als in Jahresberichten";"";"";"nein";"";"";"";"12052000";"Cottbus";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB018";"Oranienburg";"Luftmessstation";"ORBE";"01.09.1995";"01.09.1995";"15.03.2001";"nein";"Bernauer Str.";"59";"16515";"Oranienburg";"13,246240";"52,756744";"35";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"11";"No";"ST";"VK";"vor 09-95 Sachsenhausener Str., alte geogr. Koord.: 13°14'33""/52°45'29"" neu: 13°14'56""/52°45'28""";"mitgeteilte Inbetriebnahme später als in Jahresberichten, evtl. neue Code-Zuweisung für neue Messreihe";"";"nein";"";"";"";"12065256";"Oranienburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBB019";"Peitz";"Luftmessstation";"PEMA";"01.12.1992";"01.12.1992";"31.05.1995";"nein";"Mauerstr.";"1";"03185";"Peitz";"14,411647";"51,859408";"59";"vorstädtisches Gebiet";"Hintergrund";"";">50-100 m";"";"214";"No";"";"";"mitgeteilte Inbetriebnahme später als in Jahresberichten";"";"";"nein";"";"";"";"12071304";"Peitz";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEBB020";"Potsdam-Hermannswerder, 93-2000";"Luftmessstation";"PDAF";"01.09.1993";"01.09.1993";"29.06.2000";"nein";"Tornowstr.";"38";"14473";"Potsdam";"13,039659";"52,386748";"32";"vorstädtisches Gebiet";"Hintergrund";"";">50-100 m";"";"100";"No";"ST";"";"";"";"";"nein";"";"";"";"12054000";"Potsdam";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB021";"Potsdam-Zentrum";"Luftmessstation";"PDBA";"01.02.1991";"01.02.1991";"";"ja";"Am Bassinplatz";"";"14467";"Potsdam";"13,059945";"52,401352";"31";"städtisches Gebiet";"Hintergrund";"";">100-200 m";"";"102";"No";"ST";"ST";"";"";"";"ja";"01.01.2008";"";"";"12054000";"Potsdam";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"1,5";"k.A.";
"DEBB022";"Schwarzheide";"Luftmessstation";"SHSP";"01.01.1991";"01.01.1991";"31.03.1997";"nein";"Schillerplatz";"1";"01987";"Schwarzheide";"13,860447";"51,474194";"97";"vorstädtisches Gebiet";"Hintergrund";"";">200-500 m";"";"205";"No";"";"";"";"";"";"nein";"";"";"";"12066296";"Schwarzheide";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEBB023";"Senftenberg, 1991-1994";"Luftmessstation";"SERA";"01.01.1991";"01.01.1991";"31.03.1994";"nein";"Radojewskistr.";"";"01968";"Senftenberg";"13,996270";"51,521547";"103";"städtisches Gebiet";"Hintergrund";"";">100-200 m";"";"204";"No";"ST";"";"Annahme, dass CM5=Radojewskistr.";"";"";"nein";"";"";"";"12066304";"Senftenberg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEBB024";"Senftenberg";"Luftmessstation";"SERE";"01.01.1993";"01.01.1993";"31.01.2007";"nein";"Reyersbachstr.";"";"01968";"Senftenberg";"13,999485";"51,520837";"103";"städtisches Gebiet";"Hintergrund";"";">100-200 m";"Kohleabbaugebiet um Senftenberg";"219";"No";"";"ST";"";"";"";"nein";"";"";"";"12066304";"Senftenberg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"1,5";"k.A.";
"DEBB026";"Spremberg-Süd";"Luft- und Depositionsmessstation";"SPKI";"01.04.1991";"01.04.1991";"04.01.2010";"ja";"Karl-Marx-Str.";"47";"03130";"Spremberg";"14,375659";"51,559032";"104";"vorstädtisches Gebiet";"Industrie";"";">10-50 m";"Kirchhof (zurzeit Baustelle)";"217";"No";"ST";"ST";"unterschiedl. Angaben zur Haus-Nr. in allg. Adresse und in O3-RL-ADRGE02 (dort war Haus-Nr. 80)";"";"";"nein";"";"";"";"12071372";"Spremberg";"";"";"";"";"2700";"Industrieprozesse (2)";"2";"3,5";"3,5";"1,5";"k.A.";
"DEBB027";"Vetschau";"Luftmessstation";"VEPE";"01.07.1991";"01.07.1991";"31.03.1997";"nein";"Pestalozzistr.";"11";"03226";"Vetschau";"14,085355";"51,783315";"61";"vorstädtisches Gebiet";"Hintergrund";"";">100-200 m";"";"203";"No";"";"";"";"";"";"nein";"";"";"";"12066320";"Vetschau/Spreewald";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEBB028";"Wittenberge,1993-2002";"Luftmessstation";"WIBE";"01.02.1993";"01.02.1993";"26.11.2002";"nein";"Rathausstr./Packhofstr.";"";"19322";"Wittenberge";"11,759530";"52,994450";"22";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"";"134";"No";"ST";"ST";"mitgeteilte Inbetriebnahme später als in Jahresberichten";"";"";"nein";"";"";"";"12070424";"Wittenberge";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB029";"Schwedt (Oder)";"Luft- und Depositionsmessstation";"SWHE";"06.04.1993";"06.04.1993";"";"nein";"Helbigstr.";"";"16303";"Schwedt/Oder";"14,285139";"53,064262";"5";"vorstädtisches Gebiet";"Industrie";"";">200-500 m";"Fluss:Oder";"138";"No";"ST";"ST";"";"";"";"nein";"";"";"";"12073532";"Schwedt/Oder";"";"";"";"";"3500";"Industrieprozesse (2)";"2";"3,5";"3,5";"1,5";"k.A.";
"DEBB030";"Premnitz";"Luftmessstation";"PMLI";"19.04.1993";"19.04.1993";"12.01.2007";"nein";"Liebigstr.";"";"14727";"Premnitz";"12,341811";"52,531568";"30";"vorstädtisches Gebiet";"Industrie";"";">200-500 m";"";"124";"No";"ST";"ST";"";"";"";"nein";"";"";"";"12063244";"Premnitz";"";"";"";"";"";"Industrieprozesse (2)";"2";"3,5";"3,5";"";"k.A.";
"DEBB031";"Königs Wusterhausen,1993-2008";"Luftmessstation";"KWCO";"07.05.1993";"07.05.1993";"17.03.2008";"ja";"Cottbuser Str.";"";"15711";"Königs Wusterhausen";"13,627790";"52,292254";"36";"vorstädtisches Gebiet";"Hintergrund";"";">200-500 m";"";"107";"No";"ST";"ST";"mitgeteilte Inbetriebnahme später als in Jahresberichten";"";"";"nein";"";"";"";"12061260";"Königs Wusterhausen";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"1,5";"k.A.";
"DEBB032";"Eisenhüttenstadt";"Luftmessstation";"EHST";"20.04.1993";"20.04.1993";"";"nein";"Karl-Marx-Str.";"35";"15890";"Eisenhüttenstadt";"14,638166";"52,146264";"40";"vorstädtisches Gebiet";"Industrie";"";">200-500 m";"Industriestadt";"220";"No";"ST";"ST";"";"mitgeteilte Inbetriebnahme später als in Jahresberichten";"";"nein";"";"";"";"12067120";"Eisenhüttenstadt";"";"";"";"";"2400";"Industrieprozesse (2)";"2";"3,5";"3,5";"1,5";"k.A.";
"DEBB034";"Eberswalde";"Luftmessstation";"EWBE";"01.10.1993";"01.10.1993";"07.10.1999";"nein";"Bergerstr.";"";"16225";"Eberswalde";"13,800704";"52,835065";"29";"vorstädtisches Gebiet";"Verkehr";"";">10-50 m";"";"118";"No";"ST";"";"mitgeteilte Inbetriebnahme später als in Jahresberichten";"";"";"nein";"";"";"";"12060052";"Eberswalde";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"";"";"k.A.";
"DEBB035";"Frankfurt (Oder), 1994-1997";"Luftmessstation";"FFRO";"29.03.1994";"29.03.1994";"15.04.1997";"nein";"Wieckestr.";"";"15230";"Frankfurt (Oder)";"14,544556";"52,345667";"52";"städtisches Gebiet";"Hintergrund";"";"";"";"221";"No";"";"";"mitgeteilte Inbetriebnahme später als in Jahresberichten";"";"Frankfurt (Oder) - alter Standort";"nein";"";"";"";"12053000";"Frankfurt (Oder)";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB036";"Luckenwalde";"Luftmessstation";"LWAF";"12.06.1993";"12.06.1993";"17.01.2003";"nein";"Am Markt";"";"14943";"Luckenwalde";"13,171803";"52,089180";"48";"vorstädtisches Gebiet";"Hintergrund";"";">50-100 m";"";"123";"No";"ST";"";"mitgeteilte Inbetriebnahme später als in Jahresberichten, in 92/72/EEC: Am Feuerwehrhof";"";"";"nein";"";"";"";"12072232";"Luckenwalde";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB037";"Rüdersdorf";"Luftmessstation";"RDHE";"15.10.1993";"15.10.1993";"13.07.1999";"nein";"Hermannstr.";"";"15562";"Rüdersdorf";"13,792273";"52,468096";"48";"vorstädtisches Gebiet";"Hintergrund";"";"";"";"117";"No";"";"ST";"mitgeteilte Inbetriebnahme später als in Jahresberichten";"";"";"nein";"";"";"";"12064428";"Rüdersdorf bei Berlin";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB038";"Prenzlau";"Luftmessstation";"PNDE";"01.09.1993";"01.09.1993";"22.01.2003";"ja";"Schwedter Str.";"63";"17291";"Prenzlau";"13,870312";"53,315821";"33";"vorstädtisches Gebiet";"Hintergrund";"";"";"";"148";"No";"ST";"";"mitgeteilte Inbetriebnahme später als in Jahresberichten";"";"";"nein";"";"";"";"12073452";"Prenzlau";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB039";"Bernau, Altersheim";"Luftmessstation";"BELO";"01.01.1997";"01.01.1997";"30.07.1998";"ja";"Alte Lohmühlenstr.";"27";"16321";"Bernau";"13,582088";"52,680499";"74";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"";"127";"No";"ST";"";"unklare Anmerkung des BL: Prenzlauer Station DEBB038 liegt in der Schwedter Str. 63!";"";"verlegt am 01.10.98 von Georg-Dreke-Ring 58a (RW=4624700; HW=5911000) auf Schwedter Str. 63 - räumlich geringe Abweichung";"nein";"";"";"";"12060020";"Bernau bei Berlin";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEBB040";"Nauen, 1997-2002";"Luftmessstation";"NAPA";"01.03.1997";"01.03.1997";"15.04.2002";"nein";"Parkstr.";"7";"14641";"Nauen";"12,876507";"52,609568";"32";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"";"125";"No";"ST";"";"";"";"";"nein";"";"";"";"12063208";"Nauen";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEBB041";"Fürstenwalde";"Luftmessstation";"FUEW";"01.02.1994";"01.02.1994";"18.08.1999";"nein";"Mozartstr./Marchlewskistr.";"";"15517";"Fürstenwalde";"14,069902";"52,370881";"40";"vorstädtisches Gebiet";"Hintergrund";"";"";"";"222";"No";"";"";"";"";"";"nein";"";"";"";"12067144";"Fürstenwalde/Spree";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB042";"Frankfurt (Oder), 1997-2014";"Luftmessstation";"FFMA";"21.04.1997";"21.04.1997";"05.05.2014";"nein";"Markendorfer Str.";"10";"15234";"Frankfurt (Oder)";"14,531918";"52,339953";"58";"vorstädtisches Gebiet";"Hintergrund";"";">100-200 m";"Postgelände (nicht frei zugänglich)";"224";"No";"ST";"ST";"";"";"";"nein";"";"";"";"12053000";"Frankfurt (Oder)";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"1,5";"k.A.";
"DEBB043";"Luckau";"Luftmessstation";"LCJA";"08.12.1997";"08.12.1997";"16.01.2007";"nein";"Jahnstr.";"";"15926";"Luckau";"13,706502";"51,855585";"62";"vorstädtisches Gebiet";"Hintergrund";"";">100-200 m";"eingezäuntes Grundstück";"225";"No";"";"ST";"";"";"";"nein";"";"";"";"12061320";"Luckau";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB044";"Cottbus, Bahnhofstr.";"Luftmessstation";"COBA";"20.03.1995";"25.09.2012";"";"nein";"Bahnhofstr.";"55";"03046";"Cottbus";"14,327998";"51,756476";"70";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"250";"No";"";"VK";"";"";"Wegen Bauarbeiten stillgelegt 02.05.2011-12.12.2012";"nein";"";"";"";"12052000";"Cottbus";"43";"14000";"5";"2";"";"Verkehr (1A3)";"1A3";"2,8";"2,8";"";"k.A.";
"DEBB045";"Frankfurt (Oder), Leipziger Str.";"Luftmessstation";"FFLS";"01.08.1995";"01.08.1995";"";"nein";"Leipziger Str.";"";"15232";"Frankfurt (Oder)";"14,538595";"52,337336";"56";"städtisches Gebiet";"Verkehr";"";">1-10 m";"Fluss: Oder";"21";"No";"";"";"";"";"";"nein";"";"";"";"12053000";"Frankfurt (Oder)";"160";"23000";"1";"3";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBB046";"Potsdam, Hans-Thoma-Str.";"Luftmessstation";"PDTH";"01.12.1994";"01.12.1994";"01.10.1999";"nein";"Hans-Thoma-Str.";"";"14467";"Potsdam";"13,067241";"52,403612";"32";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"10";"No";"";"";"";"";"";"nein";"";"";"";"12054000";"Potsdam";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBB047";"Potsdam, Zeppelinstr.-Süd";"Luftmessstation";"PDZE";"26.09.1996";"26.09.1996";"14.06.1999";"ja";"Zeppelinstr.";"150/151";"14471";"Potsdam";"13,033837";"52,393763";"31";"städtisches Gebiet";"Verkehr";"";"direkt (0-1 m)";"";"12";"No";"";"VK";"";"";"verlegt auf andere Straßenseite (Station DEBB054)";"nein";"";"";"";"12054000";"Potsdam";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"";"";"k.A.";
"DEBB048";"Neuruppin";"Luftmessstation";"NEHA";"11.06.1998";"11.06.1998";"";"nein";"Gerhard-Hauptmann-Str.";"18/1";"16816";"Neuruppin";"12,809481";"52,931890";"43";"vorstädtisches Gebiet";"Hintergrund";"";">100-200 m";"";"126";"No";"";"";"";"";"";"nein";"";"";"";"12068320";"Neuruppin";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB049";"Brandenburg, Neuendorfer Str.";"Luftmessstation";"BRNE";"01.05.1998";"15.10.2013";"";"nein";"Neuendorfer Str.";"";"14770";"Brandenburg";"12,548376";"52,409309";"33";"städtisches Gebiet";"Verkehr";"";">1-10 m";"Fluss: Havel; Geschäftsbezirk: einzelne Läden";"14";"No";"";"";"";"";"";"nein";"";"";"";"12051000";"Brandenburg an der Havel";"46";"11000";"2";"2";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBB050";"Bernau";"Luftmessstation";"BELA";"01.03.1999";"01.03.1999";"19.01.2010";"nein";"Ladeburger Str.";"23";"16321";"Bernau";"13,583773";"52,684197";"74";"vorstädtisches Gebiet";"Hintergrund";"";">200-500 m";"zwischen Garagen";"128";"No";"";"";"";"";"";"nein";"";"";"";"12060020";"Bernau bei Berlin";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB051";"Waldsieversdorf";"Luftmessstation";"WAEC";"01.11.1999";"01.11.1999";"29.01.2003";"nein";"Eberswalder Chaussee";"6";"15377";"Waldsieversdorf";"14,057456";"52,541360";"47";"ländlich regional";"Hintergrund";"";">100-200 m";"";"119";"No";"";"";"";"";"";"nein";"";"";"";"12064484";"Waldsieversdorf";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB052";"Potsdam-Michendorfer Chaussee";"Luftmessstation";"PDSA";"12.07.2000";"12.07.2000";"17.04.2007";"nein";"Michendorfer Chaussee";"114";"14473";"Potsdam";"13,048527";"52,348284";"50";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"ehemaliges Militärgelände, jetzt LUA-Gelände";"99";"";"";"";"";"";"";"nein";"";"";"";"12054000";"Potsdam";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB053";"Hasenholz";"Luft- und Depositionsmessstation";"HAHO";"21.11.2000";"21.11.2000";"";"nein";"Ortsteil Hasenholz";"";"15377";"Buckow";"14,015252";"52,563835";"88";"ländlich regional";"Hintergrund";"";">200-500 m";"";"226";"";"";"";"";"";"";"nein";"";"";"";"12064084";"Buckow (Märkische Schweiz)";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"1,5";"k.A.";
"DEBB054";"Potsdam Zeppelinstr.";"Luftmessstation";"";"07.03.2001";"07.03.2001";"";"nein";"Zeppelinstr.";"30";"14471";"Potsdam";"13,037474";"52,393932";"31";"städtisches Gebiet";"Verkehr";"";"direkt (0-1 m)";"";"13";"";"";"";"";"";"";"nein";"";"";"";"12054000";"Potsdam";"88";"28000";"2";"1";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
